category,datetime,headline,id,image,related,source,summary,url
company,1697909459,Humanoid robots face a major test with Amazon's Digit pilots,123320327,"https://techcrunch.com/wp-content/uploads/2023/10/download-3.webp?resize=1200,675",AMZN,Yahoo,"Announced amid a deluge of news at this week’s Delivering the Future event in Seattle was word that Amazon will begin testing Agility’s Digit in a move that could bring the bipedal robot to its nationwide fulfillment centers. It’s baby steps as these things go, and such early-stage deals don’t necessary mean something bigger down the road. Take, for instance Agility’s Ford pilot, when the startup was exploring last-mile delivery as a potential way forward. Not too long after, the firm began focu",https://finnhub.io/api/news?id=8cb32870bb15be8be4d456f508378304a476ac6d5e6dc2b3528a95e5b0b498f0
company,1697896800,"3 Stocks That Turned $1,000 Into $1.1 Million (or More)",123315781,,MNST,Yahoo,"Consumer products have proven themselves to be excellent long-term investment options.  Virtually nobody alive today was around to benefit directly from those initial public offerings (IPOs), so their history of growth is less beneficial to today's investors.  Three of the best examples of this growth over the last 30 years are Apple (NASDAQ: AAPL), Amazon (NASDAQ: AMZN), and Monster Beverage (NASDAQ: MNST).",https://finnhub.io/api/news?id=d75d610543b91f16c5c6c37a8cc493f062e962282ba0483e37d64dc98e425d98
company,1697896800,The U.S. Cities With the Most Cutting-Edge Tech Workers,123315249,https://s.yimg.com/ny/api/res/1.2/kLEZByvMTM7DiirBX5KXdg--/YXBwaWQ9aGlnaGxhbmRlcjt3PTEyMDA7aD02MDA-/https://media.zenfs.com/en/wsj.com/79f0866b0bd71c18f13fedb18e2f4ef4,WMT,Yahoo,"The Seattle area has the highest proportion of advanced tech workers in the country relative to cities with similarly sized tech workforces, a new ranking from the Burning Glass Institute shows.  Home to  Amazon.com  and  Microsoft  Seattle bested other West Coast hubs in attracting talent with cutting-edge skills, while cities weighed down by legacy tech jobs fell further behind.  What makes a cutting-edge city?",https://finnhub.io/api/news?id=faca644c2f7e4e610e72fb428222253549ef006ab40b52969dba7383bd88db7c
company,1697895295,"Dow Jones Futures: Market Point Break? Microsoft, Meta, These Titans Lead Earnings Wave",123315250,https://media.zenfs.com/en/ibd.com/ec8365e261a0dfa9375d79fafac86ffa,MSFT,Yahoo,"Microsoft, Meta and Google lead a massive wave of earnings this coming week with the S&P 500 and Nasdaq near recent lows.",https://finnhub.io/api/news?id=6c9b9cc8fb7f9ec69a2396a5390eaf6826ea762647b2a369db014bc3a6e0d587
company,1697890800,Rivian (NASDAQ:RIVN): Wall Street Loves This EV Stock. Should You?,123319798,,TSLA,TipRanks,Looking for stock market analysis and research with proves results? Zacks.com offers in-depth financial research with over 30years of proven results.,https://finnhub.io/api/news?id=fe0b89552f14e895cd7396db47e05456c32b4406ea80b6f8855d61a4a14ec1c9
company,1697888220,"Charlie Munger Says the Money Is ""in the Waiting."" 3 Stocks Investors Should Buy and Forget.",123315088,https://s.yimg.com/ny/api/res/1.2/wVqrnBcXzHL7XRPou8THtw--/YXBwaWQ9aGlnaGxhbmRlcjt3PTEyMDA7aD04MDE-/https://media.zenfs.com/en/motleyfool.com/690f292c4f8b4f6225e32e04e860ea1f,AMZN,Yahoo,"Instead of actively trading all the time, Munger advised, ""The big money is not in the buying and the selling but in the waiting.""  Also, they might truly want to act if developments alter the investment thesis.  For example, Amazon has prospered despite losing more than 90% of its value at one point.",https://finnhub.io/api/news?id=8d30107e3cd09fb77d1ef84924960fdf14a4c90cbe1e06dc726a88ce76c3b4f7
company,1697885100,White Brook Capital Partners Q3 2023 Commentary,123315172,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/92277513/image_92277513.jpg?io=getty-c-w1536,TSLA,SeekingAlpha,White Brook Capital Partners continues to outperform the S&P Midcap 400 year to date. Click here to read the full fund letter.,https://finnhub.io/api/news?id=6e85ad2a23d7b47c99194af4570c72399c95f458eb084ca77912ca8ae7fbbadf
company,1697882400,Netflix: Dividends & Chill?,123314538,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/455692374/image_455692374.jpg?io=getty-c-w1536,TSLA,SeekingAlpha,"Netflix is still a growing business and since 2021, has been growing free cash flows which is expected to be $6.5 billion for FY23. Explore more details here.",https://finnhub.io/api/news?id=f85af1d8a2deafbc5e0425fae45c938aa9b74d944f053347402c23bc4093b60e
company,1697878269,Top 20 Brands Among Gen Z in the US by Mindshare,123312400,https://media.zenfs.com/en/insidermonkey.com/598305e2db86ece0a28948efcd6ca28d,NKE,Yahoo,"In this article, we will cover the top 20 brands among Gen Z in the US by Mindshare. If you want to skip our detailed analysis, you can directly go to Top 5 Brands Among Gen Z in the US by Mindshare. According to a report by McKinsey, Generation Z is the second youngest generation […]",https://finnhub.io/api/news?id=99df9d4a49c460d382548dedca82127ca7766f84c2d8639645d7dff5221b957e
company,1697877180,Is It Time to Bet on Small Caps? Analysts Share Insights On The Valuation Gap Versus Large Caps,123316581,,TSLA,Benzinga,Looking for stock market analysis and research with proves results? Zacks.com offers in-depth financial research with over 30years of proven results.,https://finnhub.io/api/news?id=adcb80716532ef2c4be8bac0e41c1374011cfa925136dfc4e3fd07e42d2d57b7
